"time
References : ['TL_in']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","TL_in
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
83.52 psec,200.0 mV
83.62 psec,200.0 mV
83.72 psec,200.1 mV
83.82 psec,200.1 mV
83.92 psec,200.1 mV
84.02 psec,200.1 mV
84.12 psec,200.1 mV
84.22 psec,200.1 mV
84.32 psec,200.1 mV
84.42 psec,200.1 mV
84.52 psec,200.1 mV
84.62 psec,200.1 mV
84.72 psec,200.0 mV
84.82 psec,200.0 mV
84.92 psec,200.0 mV
85.02 psec,200.0 mV
85.12 psec,200.0 mV
85.22 psec,200.0 mV
85.32 psec,199.9 mV
85.42 psec,199.9 mV
85.52 psec,199.9 mV
85.62 psec,199.9 mV
85.72 psec,199.9 mV
85.82 psec,199.9 mV
85.92 psec,199.9 mV
86.02 psec,199.9 mV
86.12 psec,199.9 mV
86.22 psec,200.0 mV
86.32 psec,200.0 mV
86.42 psec,200.0 mV
86.52 psec,200.0 mV
86.62 psec,200.0 mV
86.72 psec,200.0 mV
86.82 psec,200.0 mV
86.92 psec,200.1 mV
87.02 psec,200.1 mV
87.12 psec,200.1 mV
87.22 psec,200.1 mV
87.32 psec,200.1 mV
87.42 psec,200.1 mV
87.52 psec,200.1 mV
87.62 psec,200.1 mV
87.72 psec,200.1 mV
87.82 psec,200.0 mV
87.92 psec,200.0 mV
88.02 psec,200.0 mV
88.12 psec,200.0 mV
88.22 psec,200.0 mV
88.32 psec,200.0 mV
88.42 psec,200.0 mV
88.52 psec,199.9 mV
88.62 psec,199.9 mV
88.72 psec,199.9 mV
88.82 psec,199.9 mV
88.92 psec,199.9 mV
89.02 psec,199.9 mV
89.12 psec,199.9 mV
89.22 psec,199.9 mV
89.32 psec,199.9 mV
89.42 psec,200.0 mV
89.52 psec,200.0 mV
89.62 psec,200.0 mV
89.72 psec,200.0 mV
89.82 psec,200.0 mV
89.92 psec,200.0 mV
90.02 psec,200.0 mV
90.12 psec,200.1 mV
90.22 psec,200.1 mV
