"time
References : ['vcap512']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","vcap512
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
59.62 psec,0.0000 V
59.72 psec,0.0000 V
59.82 psec,0.0000 V
59.92 psec,0.0000 V
60.02 psec,0.0000 V
60.12 psec,0.0000 V
60.22 psec,0.0000 V
60.32 psec,0.0000 V
60.42 psec,0.0000 V
60.52 psec,0.0000 V
60.62 psec,0.0000 V
60.72 psec,0.0000 V
60.82 psec,0.0000 V
60.92 psec,0.0000 V
61.02 psec,0.0000 V
61.12 psec,0.0000 V
61.22 psec,0.0000 V
61.32 psec,0.0000 V
61.42 psec,0.0000 V
61.52 psec,0.0000 V
61.62 psec,0.0000 V
61.72 psec,0.0000 V
61.82 psec,0.0000 V
61.92 psec,0.0000 V
62.02 psec,0.0000 V
62.12 psec,0.0000 V
62.22 psec,0.0000 V
62.32 psec,0.0000 V
62.42 psec,0.0000 V
62.52 psec,0.0000 V
62.62 psec,0.0000 V
62.72 psec,0.0000 V
62.82 psec,0.0000 V
62.92 psec,0.0000 V
63.02 psec,0.0000 V
63.12 psec,0.0000 V
63.22 psec,0.0000 V
63.32 psec,0.0000 V
63.42 psec,0.0000 V
63.52 psec,0.0000 V
63.62 psec,0.0000 V
63.72 psec,0.0000 V
63.82 psec,0.0000 V
63.92 psec,0.0000 V
64.02 psec,0.0000 V
64.12 psec,0.0000 V
64.22 psec,0.0000 V
64.32 psec,0.0000 V
64.42 psec,0.0000 V
64.52 psec,0.0000 V
64.62 psec,0.0000 V
64.72 psec,0.0000 V
64.82 psec,0.0000 V
64.92 psec,0.0000 V
65.02 psec,0.0000 V
65.12 psec,0.0000 V
65.22 psec,0.0000 V
65.32 psec,0.0000 V
65.42 psec,0.0000 V
65.52 psec,0.0000 V
65.62 psec,0.0000 V
65.72 psec,0.0000 V
65.82 psec,0.0000 V
65.92 psec,0.0000 V
66.02 psec,0.0000 V
66.12 psec,0.0000 V
66.22 psec,0.0000 V
66.32 psec,0.0000 V
66.42 psec,0.0000 V
66.52 psec,0.0000 V
66.62 psec,0.0000 V
66.72 psec,0.0000 V
66.82 psec,0.0000 V
66.92 psec,0.0000 V
67.02 psec,0.0000 V
67.12 psec,0.0000 V
67.22 psec,0.0000 V
67.32 psec,0.0000 V
67.42 psec,0.0000 V
67.52 psec,0.0000 V
67.62 psec,0.0000 V
67.72 psec,0.0000 V
67.82 psec,0.0000 V
67.92 psec,0.0000 V
68.02 psec,0.0000 V
68.12 psec,0.0000 V
68.22 psec,0.0000 V
68.32 psec,0.0000 V
68.42 psec,0.0000 V
68.52 psec,0.0000 V
68.62 psec,0.0000 V
68.72 psec,0.0000 V
68.82 psec,0.0000 V
68.92 psec,0.0000 V
69.02 psec,0.0000 V
69.12 psec,0.0000 V
69.22 psec,0.0000 V
69.32 psec,0.0000 V
69.42 psec,0.0000 V
69.52 psec,0.0000 V
69.62 psec,0.0000 V
69.72 psec,0.0000 V
69.82 psec,0.0000 V
69.92 psec,0.0000 V
70.02 psec,0.0000 V
70.12 psec,0.0000 V
70.22 psec,0.0000 V
70.32 psec,0.0000 V
70.42 psec,0.0000 V
70.52 psec,0.0000 V
70.62 psec,0.0000 V
70.72 psec,0.0000 V
70.82 psec,0.0000 V
70.92 psec,0.0000 V
71.02 psec,0.0000 V
71.12 psec,0.0000 V
71.22 psec,0.0000 V
71.32 psec,0.0000 V
71.42 psec,0.0000 V
71.52 psec,0.0000 V
71.62 psec,0.0000 V
71.72 psec,0.0000 V
71.82 psec,0.0000 V
71.92 psec,0.0000 V
72.02 psec,0.0000 V
72.12 psec,0.0000 V
72.22 psec,0.0000 V
72.32 psec,0.0000 V
72.42 psec,0.0000 V
72.52 psec,0.0000 V
72.62 psec,0.0000 V
72.72 psec,0.0000 V
72.82 psec,0.0000 V
72.92 psec,0.0000 V
73.02 psec,0.0000 V
73.12 psec,0.0000 V
73.22 psec,0.0000 V
73.32 psec,0.0000 V
73.42 psec,0.0000 V
73.52 psec,0.0000 V
73.62 psec,0.0000 V
73.72 psec,0.0000 V
73.82 psec,0.0000 V
73.92 psec,0.0000 V
74.02 psec,0.0000 V
74.12 psec,0.0000 V
74.22 psec,0.0000 V
74.32 psec,0.0000 V
74.42 psec,0.0000 V
74.52 psec,0.0000 V
74.62 psec,0.0000 V
74.72 psec,0.0000 V
74.82 psec,0.0000 V
74.92 psec,0.0000 V
75.02 psec,0.0000 V
75.12 psec,0.0000 V
75.22 psec,0.0000 V
75.32 psec,0.0000 V
75.42 psec,0.0000 V
75.52 psec,0.0000 V
75.62 psec,0.0000 V
75.72 psec,0.0000 V
75.82 psec,0.0000 V
75.92 psec,0.0000 V
76.02 psec,0.0000 V
76.12 psec,0.0000 V
76.22 psec,0.0000 V
76.32 psec,0.0000 V
76.42 psec,0.0000 V
76.52 psec,0.0000 V
76.62 psec,0.0000 V
76.72 psec,0.0000 V
76.82 psec,0.0000 V
76.92 psec,0.0000 V
77.02 psec,0.0000 V
77.12 psec,0.0000 V
77.22 psec,0.0000 V
77.32 psec,0.0000 V
77.42 psec,0.0000 V
77.52 psec,0.0000 V
77.62 psec,0.0000 V
77.72 psec,0.0000 V
