"time
References : ['I_sec1.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_sec1.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
682.6 fsec,4.367 mA
683.6 fsec,4.368 mA
684.6 fsec,4.368 mA
685.6 fsec,4.368 mA
686.6 fsec,4.369 mA
687.6 fsec,4.369 mA
688.6 fsec,4.370 mA
689.6 fsec,4.370 mA
690.6 fsec,4.371 mA
691.6 fsec,4.371 mA
692.6 fsec,4.371 mA
693.6 fsec,4.372 mA
694.6 fsec,4.372 mA
695.6 fsec,4.373 mA
696.6 fsec,4.373 mA
697.6 fsec,4.373 mA
698.6 fsec,4.374 mA
699.6 fsec,4.374 mA
700.6 fsec,4.375 mA
701.6 fsec,4.375 mA
702.6 fsec,4.375 mA
703.6 fsec,4.376 mA
704.6 fsec,4.376 mA
705.6 fsec,4.376 mA
706.6 fsec,4.377 mA
707.6 fsec,4.377 mA
708.6 fsec,4.377 mA
709.6 fsec,4.378 mA
710.6 fsec,4.378 mA
711.6 fsec,4.378 mA
712.6 fsec,4.379 mA
713.6 fsec,4.379 mA
714.6 fsec,4.379 mA
715.6 fsec,4.379 mA
716.6 fsec,4.380 mA
717.6 fsec,4.380 mA
718.6 fsec,4.380 mA
719.6 fsec,4.381 mA
720.6 fsec,4.381 mA
721.6 fsec,4.381 mA
722.6 fsec,4.381 mA
723.6 fsec,4.382 mA
724.6 fsec,4.382 mA
725.6 fsec,4.382 mA
726.6 fsec,4.382 mA
727.6 fsec,4.383 mA
728.6 fsec,4.383 mA
729.6 fsec,4.383 mA
730.6 fsec,4.383 mA
731.6 fsec,4.383 mA
732.6 fsec,4.384 mA
733.6 fsec,4.384 mA
734.6 fsec,4.384 mA
735.6 fsec,4.384 mA
736.6 fsec,4.384 mA
737.6 fsec,4.385 mA
738.6 fsec,4.385 mA
739.6 fsec,4.385 mA
740.6 fsec,4.385 mA
741.6 fsec,4.385 mA
742.6 fsec,4.386 mA
743.6 fsec,4.386 mA
744.6 fsec,4.386 mA
745.6 fsec,4.386 mA
746.6 fsec,4.386 mA
747.6 fsec,4.386 mA
748.6 fsec,4.386 mA
749.6 fsec,4.387 mA
750.6 fsec,4.387 mA
751.6 fsec,4.387 mA
752.6 fsec,4.387 mA
753.6 fsec,4.387 mA
754.6 fsec,4.387 mA
755.6 fsec,4.387 mA
756.6 fsec,4.387 mA
757.6 fsec,4.388 mA
758.6 fsec,4.388 mA
759.6 fsec,4.388 mA
760.6 fsec,4.388 mA
761.6 fsec,4.388 mA
762.6 fsec,4.388 mA
763.6 fsec,4.388 mA
764.6 fsec,4.388 mA
765.6 fsec,4.388 mA
766.6 fsec,4.388 mA
767.6 fsec,4.388 mA
768.6 fsec,4.388 mA
769.6 fsec,4.388 mA
770.6 fsec,4.389 mA
771.6 fsec,4.389 mA
772.6 fsec,4.389 mA
773.6 fsec,4.389 mA
774.6 fsec,4.389 mA
775.6 fsec,4.389 mA
776.6 fsec,4.389 mA
777.6 fsec,4.389 mA
778.6 fsec,4.389 mA
779.6 fsec,4.389 mA
780.6 fsec,4.389 mA
781.6 fsec,4.389 mA
782.6 fsec,4.389 mA
783.6 fsec,4.389 mA
784.6 fsec,4.389 mA
785.6 fsec,4.389 mA
786.6 fsec,4.389 mA
787.6 fsec,4.389 mA
788.6 fsec,4.389 mA
789.6 fsec,4.389 mA
790.6 fsec,4.389 mA
791.6 fsec,4.389 mA
792.6 fsec,4.389 mA
793.6 fsec,4.389 mA
794.6 fsec,4.389 mA
795.6 fsec,4.389 mA
796.6 fsec,4.389 mA
797.6 fsec,4.389 mA
798.6 fsec,4.388 mA
799.6 fsec,4.388 mA
800.6 fsec,4.388 mA
801.6 fsec,4.388 mA
802.6 fsec,4.388 mA
803.6 fsec,4.388 mA
804.6 fsec,4.388 mA
805.6 fsec,4.388 mA
806.6 fsec,4.388 mA
807.6 fsec,4.388 mA
808.6 fsec,4.388 mA
809.6 fsec,4.388 mA
810.6 fsec,4.388 mA
811.6 fsec,4.388 mA
812.6 fsec,4.387 mA
813.6 fsec,4.387 mA
814.6 fsec,4.387 mA
815.6 fsec,4.387 mA
816.6 fsec,4.387 mA
817.6 fsec,4.387 mA
818.6 fsec,4.387 mA
819.6 fsec,4.387 mA
820.6 fsec,4.387 mA
821.6 fsec,4.386 mA
822.6 fsec,4.386 mA
823.6 fsec,4.386 mA
824.6 fsec,4.386 mA
825.6 fsec,4.386 mA
826.6 fsec,4.386 mA
827.6 fsec,4.386 mA
828.6 fsec,4.385 mA
829.6 fsec,4.385 mA
830.6 fsec,4.385 mA
831.6 fsec,4.385 mA
832.6 fsec,4.385 mA
833.6 fsec,4.385 mA
834.6 fsec,4.385 mA
835.6 fsec,4.384 mA
836.6 fsec,4.384 mA
837.6 fsec,4.384 mA
838.6 fsec,4.384 mA
839.6 fsec,4.384 mA
840.6 fsec,4.384 mA
841.6 fsec,4.383 mA
842.6 fsec,4.383 mA
843.6 fsec,4.383 mA
844.6 fsec,4.383 mA
845.6 fsec,4.383 mA
846.6 fsec,4.382 mA
847.6 fsec,4.382 mA
848.6 fsec,4.382 mA
849.6 fsec,4.382 mA
850.6 fsec,4.382 mA
851.6 fsec,4.381 mA
852.6 fsec,4.381 mA
853.6 fsec,4.381 mA
854.6 fsec,4.381 mA
855.6 fsec,4.381 mA
856.6 fsec,4.380 mA
857.6 fsec,4.380 mA
858.6 fsec,4.380 mA
859.6 fsec,4.380 mA
860.6 fsec,4.379 mA
861.6 fsec,4.379 mA
862.6 fsec,4.379 mA
863.6 fsec,4.379 mA
864.6 fsec,4.378 mA
865.6 fsec,4.378 mA
866.6 fsec,4.378 mA
867.6 fsec,4.378 mA
868.6 fsec,4.377 mA
869.6 fsec,4.377 mA
870.6 fsec,4.377 mA
871.6 fsec,4.377 mA
872.6 fsec,4.376 mA
873.6 fsec,4.376 mA
874.6 fsec,4.376 mA
875.6 fsec,4.376 mA
876.6 fsec,4.375 mA
877.6 fsec,4.375 mA
878.6 fsec,4.375 mA
879.6 fsec,4.375 mA
880.6 fsec,4.374 mA
881.6 fsec,4.374 mA
882.6 fsec,4.374 mA
883.6 fsec,4.373 mA
884.6 fsec,4.373 mA
885.6 fsec,4.373 mA
886.6 fsec,4.373 mA
887.6 fsec,4.372 mA
888.6 fsec,4.372 mA
889.6 fsec,4.372 mA
890.6 fsec,4.371 mA
891.6 fsec,4.371 mA
892.6 fsec,4.371 mA
893.6 fsec,4.370 mA
894.6 fsec,4.370 mA
895.6 fsec,4.370 mA
896.6 fsec,4.370 mA
897.6 fsec,4.369 mA
898.6 fsec,4.369 mA
899.6 fsec,4.369 mA
