"time
References : ['INPUT']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","INPUT
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
855.6 fsec,1.000  V
856.6 fsec,1.000  V
857.6 fsec,1.000  V
858.6 fsec,1.000  V
859.6 fsec,1.000  V
860.6 fsec,1.000  V
861.6 fsec,1.000  V
862.6 fsec,1.000  V
863.6 fsec,1.000  V
864.6 fsec,1.000  V
865.6 fsec,1.000  V
866.6 fsec,1.000  V
867.6 fsec,1.000  V
868.6 fsec,1.000  V
869.6 fsec,1.000  V
870.6 fsec,1.000  V
871.6 fsec,1.000  V
872.6 fsec,1.000  V
873.6 fsec,1.000  V
874.6 fsec,1.000  V
875.6 fsec,1.000  V
876.6 fsec,1.000  V
877.6 fsec,1.000  V
878.6 fsec,1.000  V
879.6 fsec,1.000  V
880.6 fsec,1.000  V
881.6 fsec,1.000  V
882.6 fsec,1.000  V
883.6 fsec,1.000  V
884.6 fsec,1.000  V
885.6 fsec,1.000  V
886.6 fsec,1.000  V
887.6 fsec,1.000  V
888.6 fsec,1.000  V
889.6 fsec,1.000  V
890.6 fsec,1.000  V
891.6 fsec,1.000  V
892.6 fsec,1.000  V
893.6 fsec,1.000  V
894.6 fsec,1.000  V
895.6 fsec,1.000  V
896.6 fsec,1.000  V
897.6 fsec,1.000  V
898.6 fsec,1.000  V
899.6 fsec,1.000  V
900.6 fsec,1.000  V
901.6 fsec,1.000  V
902.6 fsec,1.000  V
903.6 fsec,1.000  V
904.6 fsec,1.000  V
905.6 fsec,1.000  V
906.6 fsec,1.000  V
907.6 fsec,1.000  V
908.6 fsec,1.000  V
909.6 fsec,1.000  V
910.6 fsec,1.000  V
911.6 fsec,1.000  V
912.6 fsec,1.000  V
913.6 fsec,1.000  V
914.6 fsec,1.000  V
915.6 fsec,1.000  V
916.6 fsec,1.000  V
917.6 fsec,1.000  V
918.6 fsec,1.000  V
919.6 fsec,1.000  V
920.6 fsec,1.000  V
921.6 fsec,1.000  V
922.6 fsec,1.000  V
923.6 fsec,1.000  V
924.6 fsec,1.000  V
925.6 fsec,1.000  V
926.6 fsec,1.000  V
927.6 fsec,1.000  V
928.6 fsec,1.000  V
929.6 fsec,1.000  V
930.6 fsec,1.000  V
931.6 fsec,1.000  V
932.6 fsec,1.000  V
933.6 fsec,1.000  V
934.6 fsec,1.000  V
935.6 fsec,1.000  V
936.6 fsec,1.000  V
937.6 fsec,1.000  V
938.6 fsec,1.000  V
939.6 fsec,1.000  V
940.6 fsec,1.000  V
941.6 fsec,1.000  V
942.6 fsec,1.000  V
943.6 fsec,1.000  V
944.6 fsec,1.000  V
945.6 fsec,1.000  V
946.6 fsec,1.000  V
947.6 fsec,1.000  V
948.6 fsec,1.000  V
949.6 fsec,1.000  V
950.6 fsec,1.000  V
951.6 fsec,1.000  V
952.6 fsec,1.000  V
953.6 fsec,1.000  V
954.6 fsec,1.000  V
955.6 fsec,1.000  V
956.6 fsec,1.000  V
957.6 fsec,1.000  V
958.6 fsec,1.000  V
959.6 fsec,1.000  V
960.6 fsec,1.000  V
961.6 fsec,1.000  V
962.6 fsec,1.000  V
963.6 fsec,1.000  V
964.6 fsec,1.000  V
965.6 fsec,1.000  V
