"time
References : ['vcap4']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","vcap4
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
498.6 fsec,75.53 nV
499.6 fsec,76.72 nV
500.6 fsec,77.92 nV
501.6 fsec,79.13 nV
502.6 fsec,80.37 nV
503.6 fsec,81.62 nV
504.6 fsec,82.88 nV
505.6 fsec,84.17 nV
506.6 fsec,85.47 nV
507.6 fsec,86.79 nV
508.6 fsec,88.12 nV
509.6 fsec,89.48 nV
510.6 fsec,90.85 nV
511.6 fsec,92.24 nV
512.6 fsec,93.65 nV
513.6 fsec,95.08 nV
514.6 fsec,96.52 nV
515.6 fsec,97.99 nV
516.6 fsec,99.47 nV
517.6 fsec,101.0 nV
518.6 fsec,102.5 nV
519.6 fsec,104.0 nV
520.6 fsec,105.6 nV
521.6 fsec,107.2 nV
522.6 fsec,108.8 nV
523.6 fsec,110.4 nV
524.6 fsec,112.1 nV
525.6 fsec,113.7 nV
526.6 fsec,115.4 nV
527.6 fsec,117.1 nV
528.6 fsec,118.9 nV
529.6 fsec,120.6 nV
530.6 fsec,122.4 nV
531.6 fsec,124.2 nV
532.6 fsec,126.0 nV
533.6 fsec,127.9 nV
534.6 fsec,129.7 nV
535.6 fsec,131.6 nV
536.6 fsec,133.5 nV
537.6 fsec,135.5 nV
538.6 fsec,137.4 nV
539.6 fsec,139.4 nV
540.6 fsec,141.4 nV
541.6 fsec,143.5 nV
542.6 fsec,145.6 nV
543.6 fsec,147.6 nV
544.6 fsec,149.8 nV
545.6 fsec,151.9 nV
546.6 fsec,154.1 nV
547.6 fsec,156.3 nV
548.6 fsec,158.5 nV
549.6 fsec,160.7 nV
550.6 fsec,163.0 nV
551.6 fsec,165.3 nV
552.6 fsec,167.7 nV
553.6 fsec,170.0 nV
554.6 fsec,172.4 nV
555.6 fsec,174.8 nV
556.6 fsec,177.3 nV
557.6 fsec,179.8 nV
558.6 fsec,182.3 nV
559.6 fsec,184.8 nV
560.6 fsec,187.4 nV
561.6 fsec,190.0 nV
562.6 fsec,192.6 nV
563.6 fsec,195.3 nV
564.6 fsec,198.0 nV
565.6 fsec,200.7 nV
566.6 fsec,203.5 nV
567.6 fsec,206.3 nV
568.6 fsec,209.1 nV
569.6 fsec,212.0 nV
570.6 fsec,214.8 nV
571.6 fsec,217.8 nV
572.6 fsec,220.7 nV
573.6 fsec,223.7 nV
574.6 fsec,226.8 nV
575.6 fsec,229.8 nV
576.6 fsec,232.9 nV
577.6 fsec,236.1 nV
578.6 fsec,239.3 nV
579.6 fsec,242.5 nV
580.6 fsec,245.7 nV
581.6 fsec,249.0 nV
582.6 fsec,252.3 nV
583.6 fsec,255.7 nV
584.6 fsec,259.1 nV
585.6 fsec,262.5 nV
586.6 fsec,266.0 nV
587.6 fsec,269.6 nV
588.6 fsec,273.1 nV
589.6 fsec,276.7 nV
590.6 fsec,280.4 nV
591.6 fsec,284.0 nV
592.6 fsec,287.8 nV
593.6 fsec,291.5 nV
594.6 fsec,295.4 nV
595.6 fsec,299.2 nV
596.6 fsec,303.1 nV
597.6 fsec,307.1 nV
598.6 fsec,311.0 nV
599.6 fsec,315.1 nV
600.6 fsec,319.2 nV
601.6 fsec,323.3 nV
602.6 fsec,327.4 nV
603.6 fsec,331.7 nV
604.6 fsec,335.9 nV
605.6 fsec,340.2 nV
606.6 fsec,344.6 nV
607.6 fsec,349.0 nV
608.6 fsec,353.5 nV
609.6 fsec,358.0 nV
610.6 fsec,362.5 nV
611.6 fsec,367.1 nV
612.6 fsec,371.8 nV
613.6 fsec,376.5 nV
614.6 fsec,381.2 nV
615.6 fsec,386.0 nV
616.6 fsec,390.9 nV
617.6 fsec,395.8 nV
618.6 fsec,400.8 nV
619.6 fsec,405.8 nV
620.6 fsec,410.9 nV
621.6 fsec,416.0 nV
622.6 fsec,421.2 nV
623.6 fsec,426.4 nV
624.6 fsec,431.7 nV
625.6 fsec,437.1 nV
626.6 fsec,442.5 nV
627.6 fsec,447.9 nV
628.6 fsec,453.5 nV
629.6 fsec,459.1 nV
630.6 fsec,464.7 nV
631.6 fsec,470.4 nV
632.6 fsec,476.2 nV
633.6 fsec,482.0 nV
634.6 fsec,487.9 nV
635.6 fsec,493.8 nV
636.6 fsec,499.8 nV
637.6 fsec,505.9 nV
638.6 fsec,512.1 nV
639.6 fsec,518.3 nV
640.6 fsec,524.5 nV
641.6 fsec,530.9 nV
642.6 fsec,537.3 nV
643.6 fsec,543.7 nV
644.6 fsec,550.3 nV
645.6 fsec,556.9 nV
646.6 fsec,563.5 nV
647.6 fsec,570.3 nV
648.6 fsec,577.1 nV
649.6 fsec,584.0 nV
650.6 fsec,590.9 nV
651.6 fsec,597.9 nV
652.6 fsec,605.0 nV
653.6 fsec,612.2 nV
654.6 fsec,619.4 nV
655.6 fsec,626.7 nV
656.6 fsec,634.1 nV
657.6 fsec,641.6 nV
658.6 fsec,649.1 nV
659.6 fsec,656.7 nV
660.6 fsec,664.4 nV
661.6 fsec,672.2 nV
662.6 fsec,680.0 nV
663.6 fsec,688.0 nV
664.6 fsec,696.0 nV
665.6 fsec,704.1 nV
666.6 fsec,712.2 nV
667.6 fsec,720.5 nV
668.6 fsec,728.8 nV
669.6 fsec,737.2 nV
670.6 fsec,745.7 nV
671.6 fsec,754.3 nV
672.6 fsec,763.0 nV
673.6 fsec,771.7 nV
674.6 fsec,780.5 nV
675.6 fsec,789.5 nV
676.6 fsec,798.5 nV
677.6 fsec,807.6 nV
678.6 fsec,816.8 nV
679.6 fsec,826.1 nV
680.6 fsec,835.4 nV
681.6 fsec,844.9 nV
682.6 fsec,854.5 nV
683.6 fsec,864.1 nV
684.6 fsec,873.9 nV
685.6 fsec,883.7 nV
686.6 fsec,893.6 nV
687.6 fsec,903.7 nV
688.6 fsec,913.8 nV
689.6 fsec,924.0 nV
690.6 fsec,934.4 nV
691.6 fsec,944.8 nV
692.6 fsec,955.3 nV
693.6 fsec,965.9 nV
694.6 fsec,976.7 nV
695.6 fsec,987.5 nV
696.6 fsec,998.4 nV
697.6 fsec,1.009 uV
698.6 fsec,1.021 uV
699.6 fsec,1.032 uV
700.6 fsec,1.043 uV
701.6 fsec,1.055 uV
702.6 fsec,1.066 uV
703.6 fsec,1.078 uV
704.6 fsec,1.090 uV
705.6 fsec,1.102 uV
706.6 fsec,1.114 uV
707.6 fsec,1.126 uV
708.6 fsec,1.138 uV
709.6 fsec,1.150 uV
710.6 fsec,1.163 uV
711.6 fsec,1.175 uV
712.6 fsec,1.188 uV
713.6 fsec,1.201 uV
714.6 fsec,1.214 uV
715.6 fsec,1.227 uV
716.6 fsec,1.240 uV
717.6 fsec,1.253 uV
718.6 fsec,1.267 uV
719.6 fsec,1.280 uV
720.6 fsec,1.294 uV
721.6 fsec,1.308 uV
722.6 fsec,1.322 uV
723.6 fsec,1.336 uV
724.6 fsec,1.350 uV
725.6 fsec,1.364 uV
726.6 fsec,1.379 uV
727.6 fsec,1.393 uV
728.6 fsec,1.408 uV
729.6 fsec,1.423 uV
730.6 fsec,1.438 uV
731.6 fsec,1.453 uV
732.6 fsec,1.468 uV
733.6 fsec,1.484 uV
734.6 fsec,1.499 uV
735.6 fsec,1.515 uV
736.6 fsec,1.531 uV
737.6 fsec,1.547 uV
738.6 fsec,1.563 uV
739.6 fsec,1.579 uV
740.6 fsec,1.596 uV
741.6 fsec,1.612 uV
742.6 fsec,1.629 uV
743.6 fsec,1.646 uV
744.6 fsec,1.663 uV
745.6 fsec,1.680 uV
746.6 fsec,1.697 uV
747.6 fsec,1.714 uV
748.6 fsec,1.732 uV
749.6 fsec,1.750 uV
750.6 fsec,1.768 uV
751.6 fsec,1.786 uV
752.6 fsec,1.804 uV
753.6 fsec,1.822 uV
754.6 fsec,1.841 uV
755.6 fsec,1.860 uV
756.6 fsec,1.878 uV
757.6 fsec,1.897 uV
758.6 fsec,1.917 uV
759.6 fsec,1.936 uV
760.6 fsec,1.956 uV
761.6 fsec,1.975 uV
762.6 fsec,1.995 uV
763.6 fsec,2.015 uV
764.6 fsec,2.035 uV
765.6 fsec,2.056 uV
766.6 fsec,2.076 uV
767.6 fsec,2.097 uV
768.6 fsec,2.118 uV
769.6 fsec,2.139 uV
770.6 fsec,2.160 uV
771.6 fsec,2.182 uV
772.6 fsec,2.204 uV
773.6 fsec,2.225 uV
774.6 fsec,2.247 uV
775.6 fsec,2.270 uV
776.6 fsec,2.292 uV
777.6 fsec,2.315 uV
778.6 fsec,2.337 uV
779.6 fsec,2.360 uV
780.6 fsec,2.384 uV
781.6 fsec,2.407 uV
782.6 fsec,2.430 uV
783.6 fsec,2.454 uV
784.6 fsec,2.478 uV
785.6 fsec,2.502 uV
786.6 fsec,2.527 uV
787.6 fsec,2.551 uV
788.6 fsec,2.576 uV
789.6 fsec,2.601 uV
790.6 fsec,2.626 uV
791.6 fsec,2.652 uV
792.6 fsec,2.677 uV
793.6 fsec,2.703 uV
794.6 fsec,2.729 uV
795.6 fsec,2.755 uV
796.6 fsec,2.782 uV
797.6 fsec,2.808 uV
