"time
References : ['I_cap2.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_cap2.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
480.6 fsec,231.7 uA
481.6 fsec,232.9 uA
482.6 fsec,234.1 uA
483.6 fsec,235.4 uA
484.6 fsec,236.6 uA
485.6 fsec,237.8 uA
486.6 fsec,239.1 uA
487.6 fsec,240.3 uA
488.6 fsec,241.6 uA
489.6 fsec,242.8 uA
490.6 fsec,244.1 uA
491.6 fsec,245.3 uA
492.6 fsec,246.6 uA
493.6 fsec,247.9 uA
494.6 fsec,249.1 uA
495.6 fsec,250.4 uA
496.6 fsec,251.7 uA
497.6 fsec,253.0 uA
498.6 fsec,254.2 uA
499.6 fsec,255.5 uA
500.6 fsec,256.8 uA
501.6 fsec,258.1 uA
502.6 fsec,259.4 uA
503.6 fsec,260.7 uA
504.6 fsec,262.0 uA
505.6 fsec,263.3 uA
506.6 fsec,264.6 uA
507.6 fsec,265.9 uA
508.6 fsec,267.2 uA
509.6 fsec,268.6 uA
510.6 fsec,269.9 uA
511.6 fsec,271.2 uA
512.6 fsec,272.5 uA
513.6 fsec,273.9 uA
514.6 fsec,275.2 uA
515.6 fsec,276.5 uA
516.6 fsec,277.9 uA
517.6 fsec,279.2 uA
518.6 fsec,280.6 uA
519.6 fsec,281.9 uA
520.6 fsec,283.3 uA
521.6 fsec,284.7 uA
522.6 fsec,286.0 uA
523.6 fsec,287.4 uA
524.6 fsec,288.7 uA
525.6 fsec,290.1 uA
526.6 fsec,291.5 uA
527.6 fsec,292.9 uA
528.6 fsec,294.3 uA
529.6 fsec,295.6 uA
530.6 fsec,297.0 uA
531.6 fsec,298.4 uA
532.6 fsec,299.8 uA
533.6 fsec,301.2 uA
534.6 fsec,302.6 uA
535.6 fsec,304.0 uA
536.6 fsec,305.4 uA
537.6 fsec,306.9 uA
538.6 fsec,308.3 uA
539.6 fsec,309.7 uA
540.6 fsec,311.1 uA
541.6 fsec,312.5 uA
542.6 fsec,314.0 uA
543.6 fsec,315.4 uA
544.6 fsec,316.8 uA
545.6 fsec,318.3 uA
546.6 fsec,319.7 uA
547.6 fsec,321.2 uA
548.6 fsec,322.6 uA
549.6 fsec,324.1 uA
550.6 fsec,325.5 uA
551.6 fsec,327.0 uA
552.6 fsec,328.4 uA
553.6 fsec,329.9 uA
554.6 fsec,331.4 uA
555.6 fsec,332.8 uA
556.6 fsec,334.3 uA
557.6 fsec,335.8 uA
558.6 fsec,337.3 uA
559.6 fsec,338.8 uA
560.6 fsec,340.2 uA
561.6 fsec,341.7 uA
562.6 fsec,343.2 uA
563.6 fsec,344.7 uA
564.6 fsec,346.2 uA
565.6 fsec,347.7 uA
566.6 fsec,349.2 uA
567.6 fsec,350.8 uA
568.6 fsec,352.3 uA
569.6 fsec,353.8 uA
570.6 fsec,355.3 uA
571.6 fsec,356.8 uA
572.6 fsec,358.4 uA
573.6 fsec,359.9 uA
574.6 fsec,361.4 uA
575.6 fsec,362.9 uA
576.6 fsec,364.5 uA
577.6 fsec,366.0 uA
578.6 fsec,367.6 uA
579.6 fsec,369.1 uA
580.6 fsec,370.7 uA
581.6 fsec,372.2 uA
582.6 fsec,373.8 uA
583.6 fsec,375.4 uA
584.6 fsec,376.9 uA
585.6 fsec,378.5 uA
586.6 fsec,380.1 uA
587.6 fsec,381.6 uA
588.6 fsec,383.2 uA
589.6 fsec,384.8 uA
590.6 fsec,386.4 uA
591.6 fsec,388.0 uA
592.6 fsec,389.5 uA
593.6 fsec,391.1 uA
594.6 fsec,392.7 uA
595.6 fsec,394.3 uA
596.6 fsec,395.9 uA
597.6 fsec,397.5 uA
598.6 fsec,399.2 uA
599.6 fsec,400.8 uA
600.6 fsec,402.4 uA
601.6 fsec,404.0 uA
602.6 fsec,405.6 uA
603.6 fsec,407.2 uA
604.6 fsec,408.9 uA
605.6 fsec,410.5 uA
606.6 fsec,412.1 uA
607.6 fsec,413.8 uA
608.6 fsec,415.4 uA
609.6 fsec,417.0 uA
610.6 fsec,418.7 uA
611.6 fsec,420.3 uA
612.6 fsec,422.0 uA
613.6 fsec,423.7 uA
614.6 fsec,425.3 uA
615.6 fsec,427.0 uA
616.6 fsec,428.6 uA
617.6 fsec,430.3 uA
618.6 fsec,432.0 uA
619.6 fsec,433.6 uA
620.6 fsec,435.3 uA
621.6 fsec,437.0 uA
622.6 fsec,438.7 uA
623.6 fsec,440.4 uA
624.6 fsec,442.1 uA
625.6 fsec,443.7 uA
626.6 fsec,445.4 uA
627.6 fsec,447.1 uA
628.6 fsec,448.8 uA
629.6 fsec,450.5 uA
630.6 fsec,452.2 uA
631.6 fsec,454.0 uA
632.6 fsec,455.7 uA
633.6 fsec,457.4 uA
634.6 fsec,459.1 uA
635.6 fsec,460.8 uA
636.6 fsec,462.5 uA
637.6 fsec,464.3 uA
638.6 fsec,466.0 uA
639.6 fsec,467.7 uA
640.6 fsec,469.5 uA
641.6 fsec,471.2 uA
642.6 fsec,472.9 uA
643.6 fsec,474.7 uA
644.6 fsec,476.4 uA
645.6 fsec,478.2 uA
646.6 fsec,479.9 uA
647.6 fsec,481.7 uA
648.6 fsec,483.5 uA
649.6 fsec,485.2 uA
650.6 fsec,487.0 uA
651.6 fsec,488.8 uA
652.6 fsec,490.5 uA
653.6 fsec,492.3 uA
654.6 fsec,494.1 uA
655.6 fsec,495.9 uA
656.6 fsec,497.6 uA
657.6 fsec,499.4 uA
658.6 fsec,501.2 uA
659.6 fsec,503.0 uA
660.6 fsec,504.8 uA
661.6 fsec,506.6 uA
662.6 fsec,508.4 uA
663.6 fsec,510.2 uA
664.6 fsec,512.0 uA
665.6 fsec,513.8 uA
666.6 fsec,515.6 uA
667.6 fsec,517.4 uA
668.6 fsec,519.2 uA
669.6 fsec,521.1 uA
670.6 fsec,522.9 uA
671.6 fsec,524.7 uA
672.6 fsec,526.5 uA
673.6 fsec,528.4 uA
674.6 fsec,530.2 uA
675.6 fsec,532.0 uA
676.6 fsec,533.9 uA
677.6 fsec,535.7 uA
678.6 fsec,537.6 uA
679.6 fsec,539.4 uA
680.6 fsec,541.2 uA
681.6 fsec,543.1 uA
682.6 fsec,545.0 uA
683.6 fsec,546.8 uA
