x,y
3.2382e+06,-34.414
3.2432e+06,-38.919
3.2482e+06,-43.423
3.2533e+06,-47.928
3.2583e+06,-52.432
3.2633e+06,-56.937
3.2683e+06,-61.441
3.2733e+06,-65.946
3.2783e+06,-70.45
3.2833e+06,-74.955
3.2883e+06,-79.459
3.2933e+06,-83.964
3.2983e+06,-88.468
3.3033e+06,-92.973
3.3083e+06,-97.477
3.3133e+06,-101.98
3.3183e+06,-106.49
3.3233e+06,-110.99
3.3283e+06,-115.5
3.3333e+06,-120
3.3383e+06,-124.5
3.3433e+06,-129.01
3.3483e+06,-133.51
3.3534e+06,-138.02
3.3584e+06,-142.52
3.3634e+06,-147.03
3.3684e+06,-151.53
3.3734e+06,-156.04
3.3784e+06,-160.54
3.3834e+06,-165.05
3.3884e+06,-169.55
3.3934e+06,-174.05
3.3984e+06,-178.56
3.4034e+06,-3.063
3.4084e+06,-7.5675
3.4134e+06,-12.072
3.4184e+06,-16.577
3.4234e+06,-21.081
3.4284e+06,-25.586
3.4334e+06,-30.09
3.4384e+06,-34.595
3.4434e+06,-39.099
3.4484e+06,-43.604
3.4535e+06,-48.108
3.4585e+06,-52.613
3.4635e+06,-57.117
3.4685e+06,-61.622
3.4735e+06,-66.126
3.4785e+06,-70.631
3.4835e+06,-75.135
3.4885e+06,-79.64
3.4935e+06,-84.144
3.4985e+06,-88.649
3.5035e+06,-93.153
3.5085e+06,-97.658
3.5135e+06,-102.16
3.5185e+06,-106.67
3.5235e+06,-111.17
3.5285e+06,-115.68
3.5335e+06,-120.18
3.5385e+06,-124.68
3.5435e+06,-129.19
3.5485e+06,-133.69
3.5536e+06,-138.2
3.5586e+06,-142.7
3.5636e+06,-147.21
3.5686e+06,-151.71
3.5736e+06,-156.22
3.5786e+06,-160.72
3.5836e+06,-165.23
3.5886e+06,-169.73
3.5936e+06,-174.23
3.5986e+06,-178.74
3.6036e+06,-3.2432
3.6086e+06,-7.7477
3.6136e+06,-12.252
3.6186e+06,-16.757
3.6236e+06,-21.261
3.6286e+06,-25.766
3.6336e+06,-30.27
3.6386e+06,-34.775
3.6436e+06,-39.279
3.6486e+06,-43.784
3.6537e+06,-48.288
3.6587e+06,-52.793
3.6637e+06,-57.297
3.6687e+06,-61.802
3.6737e+06,-66.306
3.6787e+06,-70.811
3.6837e+06,-75.315
3.6887e+06,-79.82
3.6937e+06,-84.324
3.6987e+06,-88.829
3.7037e+06,-93.333
3.7087e+06,-97.838
3.7137e+06,-102.34
3.7187e+06,-106.85
3.7237e+06,-111.35
3.7287e+06,-115.86
3.7337e+06,-120.36
3.7387e+06,-124.86
3.7437e+06,-129.37
3.7487e+06,-133.87
3.7538e+06,-138.38
3.7588e+06,-142.88
3.7638e+06,-147.39
3.7688e+06,-151.89
3.7738e+06,-156.4
3.7788e+06,-160.9
3.7838e+06,-165.41
3.7888e+06,-169.91
3.7938e+06,-174.41
3.7988e+06,-178.92
3.8038e+06,-3.4234
3.8088e+06,-7.9279
3.8138e+06,-12.432
3.8188e+06,-16.937
3.8238e+06,-21.441
3.8288e+06,-25.946
3.8338e+06,-30.45
3.8388e+06,-34.955
3.8438e+06,-39.459
3.8488e+06,-43.964
3.8539e+06,-48.468
3.8589e+06,-52.973
3.8639e+06,-57.477
3.8689e+06,-61.982
3.8739e+06,-66.486
3.8789e+06,-70.991
3.8839e+06,-75.495
3.8889e+06,-80
3.8939e+06,-84.505
3.8989e+06,-89.009
3.9039e+06,-93.514
3.9089e+06,-98.018
3.9139e+06,-102.52
3.9189e+06,-107.03
3.9239e+06,-111.53
3.9289e+06,-116.04
3.9339e+06,-120.54
3.9389e+06,-125.05
3.9439e+06,-129.55
3.9489e+06,-134.05
3.954e+06,-138.56
3.959e+06,-143.06
3.964e+06,-147.57
3.969e+06,-152.07
3.974e+06,-156.58
3.979e+06,-161.08
3.984e+06,-165.59
3.989e+06,-170.09
3.994e+06,-174.59
3.999e+06,-179.1
4.004e+06,-3.6036
4.009e+06,-8.1081
4.014e+06,-12.613
4.019e+06,-17.117
4.024e+06,-21.622
4.029e+06,-26.126
4.034e+06,-30.631
4.039e+06,-35.135
4.044e+06,-39.64
4.049e+06,-44.144
4.0541e+06,-48.649
4.0591e+06,-53.153
4.0641e+06,-57.658
4.0691e+06,-62.162
4.0741e+06,-66.667
4.0791e+06,-71.171
4.0841e+06,-75.676
4.0891e+06,-80.18
4.0941e+06,-84.685
4.0991e+06,-89.189
4.1041e+06,-93.694
4.1091e+06,-98.198
4.1141e+06,-102.7
4.1191e+06,-107.21
4.1241e+06,-111.71
4.1291e+06,-116.22
4.1341e+06,-120.72
4.1391e+06,-125.23
4.1441e+06,-129.73
4.1491e+06,-134.23
4.1542e+06,-138.74
4.1592e+06,-143.24
4.1642e+06,-147.75
4.1692e+06,-152.25
4.1742e+06,-156.76
4.1792e+06,-161.26
4.1842e+06,-165.77
4.1892e+06,-170.27
4.1942e+06,-174.77
4.1992e+06,-179.28
4.2042e+06,-3.7837
4.2092e+06,-8.2883
4.2142e+06,-12.793
4.2192e+06,-17.297
4.2242e+06,-21.802
4.2292e+06,-26.306
4.2342e+06,-30.811
4.2392e+06,-35.315
4.2442e+06,-39.82
4.2492e+06,-44.324
4.2543e+06,-48.829
4.2593e+06,-53.333
4.2643e+06,-57.838
4.2693e+06,-62.342
4.2743e+06,-66.847
4.2793e+06,-71.351
4.2843e+06,-75.856
4.2893e+06,-80.36
